"drug" "test.cindex" "train.cindex" "testindex.sd" "trainindex.sd" "genecount"
"10001" 0.539867069387941 0.769389271751505 0.180307295066581 0.0201822045705019 27
"10002" 0.588887405577626 0.752598462918148 0.123900002599615 0.0227737877093576 19
"10003" 0.589993587756926 0.705430139864633 0.170317581535962 0.0192325495109536 12
"10004" 0.550130335697848 0.859984093631559 0.152849002218488 0.031831866441826 49
"10006" 0.587987578163064 0.942627429400689 0.175369384221273 0.0190136572348579 69
"10008" 0.461665020874805 0.959692591579459 0.152770489449953 0.042008041016734 115
"10011" 0.504455701975882 0.977165584111764 0.151029312679054 0.00609762721448968 151
"10013" 0.568200943067918 0.900035109985461 0.186635067124523 0.0188009342497369 59
"10014" 0.420045196267607 0.94145216285169 0.165286953748009 0.0509781444521672 100
"10017" 0.58981672438965 0.73964621475017 0.113118241796393 0.0141264091128565 22
"10018" 0.482114010868386 0.958448261044034 0.193929379631622 0.056041168565148 96
"10020" 0.555095153495525 0.977963210360291 0.166340187301442 0.00613963622109641 146
"10023" 0.535644926402749 0.97802554787261 0.184516834580348 0.0224786588882551 73
"10027" 0.481956177905545 0.964419800727886 0.231705586251383 0.010163177671102 142
"10028" 0.570415002524136 0.806816862573205 0.229334363737378 0.0171683011665166 33
"10036" 0.581567549617144 0.933836904428494 0.157809073901895 0.0217898790839665 120
"10037" 0.557536172840061 0.7683014617172 0.123288070739583 0.0228793405336876 35
"10038" 0.573282163852956 0.8126929526914 0.117622883530939 0.019010736050728 38
"10041" 0.464195961987468 0.971050904931771 0.206339860952043 0.0591601678166521 78
"10042" 0.559623558828143 0.841102615650183 0.23352951262761 0.0143991096429976 41
"10045" 0.572073795639923 0.730982050652176 0.246463194463019 0.0236663901469299 27
"10047" 0.536747154918873 0.850930519966458 0.21140806402085 0.017028711437903 48
"10049" 0.59323739743827 0.976582143854672 0.143879983910708 0.0302249299529516 78
"10050" 0.54674815072166 0.696622260293333 0.118757690853366 0.0105284260195002 15
